question,expected,actual_1,actual_2,actual_3,verdict
What is the price of the Elixir Bundle in Stardew Valley?,The Elixir Bundle has a price of 0g.,The Elixir Bundle is furniture sold in the Wizard's Catalogue for 0g. It doesn't have a resale value.,"The Elixir Bundle is a decorative furniture item available from the Wizard's Catalogue, and its price is 0g.","The Elixir Bundle is available from the Wizard's Catalogue and is listed for 0g, essentially making it free.",PASS
How can Lobsters be obtained in Stardew Valley?,"Lobsters can be obtained using a Crab Pot in saltwater, gifted by a pet turtle with max friendship, at the Traveling Cart for 360–1,000g, or from the Statue of Endless Fortune on Elliott's birthday.","Lobsters can be caught using a Crab Pot in any saltwater body. They can also be randomly purchased from the Traveling Cart or gifted by a pet turtle at max friendship. Alternatively, a Statue of Endless Fortune produces one Lobster annually on Elliott's birthday (Fall 5). They can also be farmed in a Fish Pond, where Lobsters reproduce every three days.","Lobsters can be obtained by placing Crab Pots in any saltwater location. The chance of catching one increases if you have the Mariner profession. You may also find Lobsters at the Traveling Cart or receive one yearly from the Statue of Endless Fortune on Elliott's birthday (Fall 5). Additionally, Lobsters can be raised in a Fish Pond.","Lobsters can be obtained by placing a Crab Pot in any saltwater body of water. They may also appear in the Traveling Cart for purchase or as a gift from a pet turtle with max friendship. Additionally, the Statue of Endless Fortune produces one Lobster per year on Elliott's birthday (Fall 5). You can also raise them using a Fish Pond.",FAIL
What quest involves a Lobster in Stardew Valley?,"Gus requests a Lobster by mail on the 6th of Fall, Year 2, in the ""Wanted: Lobster"" quest.","The ""Wanted: Lobster"" quest involves a Lobster. Gus requests it by mail on Fall 6 (Year 2). Completing this quest rewards you with 500g and 1 Friendship heart.","Gus requests a Lobster by mail during the ""Wanted: Lobster"" quest on Fall 6 of Year 2. The reward for completing it is 500g and 1 Friendship heart.","Gus requests a Lobster in the ""Wanted: Lobster"" quest, which he sends by mail on the 6th of Fall in Year 2. Completing it rewards 500g and 1 Friendship heart.",PASS
What is the cost to unlock the Minecart system through the Joja Community Development Form?,"The Minecart system can be unlocked by purchasing 'Minecarts' from the Joja Community Development Form for 15,000g.","Unlocking the Minecart system through the Joja Community Development Form costs 15,000g.","Unlocking the Minecart system through the Joja Community Development Form costs 15,000g.","To unlock the Minecart system through the Joja Community Development Form, it costs **15,000g**.",PASS
What are the four destinations accessible using the Minecarts?,"The four destinations accessible using the Minecarts are Mines, Pelican Town, Bus Stop, and Quarry.","The Minecarts allow travel to four destinations: the Bus Stop, Mines, Quarry, and Pelican Town. You’ll unlock them by completing the Boiler Room bundles or purchasing the upgrade from JojaMart.","The four destinations accessible via the minecarts are the Bus Stop, Mines, Quarry, and Pelican Town.","The four minecart destinations are the Mines, Quarry, Bus Stop, and Pelican Town.",PASS
Where do dangerous Shadow Brutes spawn?,Dangerous Shadow Brutes spawn in the Dangerous Mines on floors 81-119.,"Dangerous Shadow Brutes spawn in the Mines on floors 81-119. They appear after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest.","Dangerous Shadow Brutes spawn in the Dangerous Mines on floors 81-119. These appear after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest. Let me know if you'd like more details.","Dangerous Shadow Brutes spawn in the Mines on floors 81-119 after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest.",PASS
How much XP does a dangerous Shadow Brute give?,A dangerous Shadow Brute gives 15 XP.,A dangerous Shadow Brute gives 15 XP when defeated. Let me know if you need more details on them!,A dangerous Shadow Brute gives 15 XP when defeated.,A dangerous Shadow Brute grants 15 XP when defeated.,PASS
At what Fishing Level is the Spinner crafting recipe unlocked?,The Spinner crafting recipe is unlocked at Fishing Level 6.,The Spinner crafting recipe is unlocked at Fishing Level 6.,The crafting recipe for the Spinner unlocks at Fishing Level 6.,The Spinner crafting recipe is unlocked at Fishing Level 6.,PASS
What is the effect of equipping two Spinners simultaneously?,Equipping two Spinners reduces the maximum delay before a nibble by 7.5 seconds.,"Equipping two Spinners with an Advanced Iridium Rod reduces the maximum delay before a fish nibble by 7.5 seconds, doubling the effect of one Spinner.","Equipping two Spinners simultaneously using the Advanced Iridium Rod halves the maximum delay before a nibble, reducing it by 7.5 seconds total. This effect is double that of using just one Spinner.","Equipping two Spinners simultaneously using an Advanced Iridium Rod reduces the maximum delay before a nibble by 7.5 seconds, which is double the effect of a single Spinner.",PASS
What tree does an acorn grow into in Stardew Valley?,An acorn grows into an Oak Tree in Stardew Valley.,An acorn grows into an oak tree when planted.,An acorn grows into an Oak Tree.,An acorn grows into an oak tree.,PASS
"What is the chance of an acorn growing to the next stage each night during Spring, Summer, or Fall?","An acorn has approximately a 20% chance to grow to the next stage each night during Spring, Summer, or Fall.","An acorn has a 20% chance to grow to the next stage each night during Spring, Summer, or Fall. It takes five stages in total to fully mature.","An acorn has about a 20% chance to grow to the next stage each night during Spring, Summer, or Fall. There are five growth stages in total, and the median time to maturity is roughly 18 days, with most reaching full growth in less than 32 days.","An acorn has a 20% chance to grow to the next stage each night during Spring, Summer, or Fall. There are five growth stages, and the median time to maturity is about 18 days, with most trees maturing in less than 32 growing days without any fertilizer.",PASS
Where can Bug Meat be purchased?,Bug Meat can be purchased from Vincent's shop at the Desert Festival for 1 Calico Egg.,Bug Meat can be purchased at the Desert Festival from Vincent’s shop in exchange for 1 Calico Egg.,Bug Meat can be purchased at the Desert Festival from Vincent's shop in exchange for a Calico Egg.,Bug Meat can be purchased from Vincent's shop at the Desert Festival in exchange for one Calico Egg.,PASS
What is required to craft the Sturdy Ring?,"The Sturdy Ring is crafted using 25 Bug Meat, 2 Copper Bars, and 25 Slime.","To craft the Sturdy Ring, you'll need 2 Copper Bars, 25 Bug Meat, and 25 Slime. You obtain the recipe at Combat Level 1.","To craft the Sturdy Ring, you need 2 Copper Bars, 25 Bug Meat, and 25 Slime. You can unlock the recipe at Combat Level 1.","To craft the Sturdy Ring, you'll need the following materials:

- 2 Copper Bars
- 25 Bug Meat
- 25 Slime

The recipe becomes available after reaching Combat Level 1.",PASS
What is the source of the Retro Flower decoration?,The Retro Flower is available from the Retro Catalogue.,The Retro Flower decoration is a houseplant furniture item available from the Retro Catalogue.,The Retro Flower decoration is available from the Retro Catalogue.,The Retro Flower decoration is a houseplant furniture item available from the Retro Catalogue. Let me know if you need help locating or using it!,PASS
Can the Retro Flower be sold?,The Retro Flower cannot be sold.,"No, the Retro Flower cannot be sold. It is a decorative item.","No, the Retro Flower cannot be sold. It is a decorative furniture item.","No, the Retro Flower cannot be sold. It's a decorative houseplant available through the Retro Catalogue.",PASS
What is the buff duration for the Magic Rock Candy?,The buff duration for the Magic Rock Candy is 8 minutes and 24 seconds.,The buff duration for Magic Rock Candy is 8 minutes and 24 seconds in real-time.,The buff duration for Magic Rock Candy is 8 minutes and 24 seconds in real-time.,The buff duration for Magic Rock Candy is 8 minutes and 24 seconds in real-time.,PASS
How can you obtain Magic Rock Candy from the Desert Trader?,You can obtain Magic Rock Candy from the Desert Trader by trading 3 Prismatic Shards for one on Thursdays.,You can purchase one Magic Rock Candy from the Desert Trader in the Calico Desert every Thursday. The cost is 3 Prismatic Shards.,"You can obtain Magic Rock Candy from the Desert Trader by trading 3 Prismatic Shards. However, it is only available for purchase on Thursdays, with a limit of one per Thursday.","You can obtain Magic Rock Candy from the Desert Trader by trading 3 Prismatic Shards. However, it's only available for purchase on Thursdays, and you are limited to buying one per week.",PASS
